Node name,Node pack name,Display Name,Simple Name,Long docstring,Short docstring,Tags,Icon
DilateErodeMask,ComfyUI-Image-Filters,Dilate/Erode Mask,Mask Boundary Modifier,"The DilateErodeMask node is designed to modify mask images by either dilating or eroding them, based on the specified radius and shape. This process adjusts the boundaries of objects within the mask, either expanding or contracting them to achieve the desired morphological effect.",Modify mask images by dilating or eroding.,"['Segmentation', 'Masks', 'Mask']",mask
EnhanceDetail,ComfyUI-Image-Filters,Enhance Detail,Detail Enhancer,"The EnhanceDetail node is designed to improve the visual quality of images by applying a series of filters that enhance details, adjust sharpness, and potentially reduce noise. It operates by manipulating the image's details relative to its guided filter output, allowing for refined control over the enhancement process.",Improve image quality by enhancing details and sharpness.,['Enhancers'],file-image
AdainLatent,ComfyUI-Image-Filters,AdaIN (Latent),Style Transfer Modifier,"AdainLatent is designed to perform adaptive instance normalization on latent representations by aligning the mean and standard deviation of a target latent space with those of a reference latent space, modulated by a specified factor. This process facilitates the transfer of style characteristics from the reference to the target latents, enabling style manipulation and consistency in generative models.",Perform adaptive instance normalization on latent representations.,"['Diffusion', 'Latent', 'Latent']",brain
JitterImage,ComfyUI-Image-Filters,Jitter Image,Image Jitter Effect,"The `JitterImage` node applies a jitter effect to images, transforming them by applying a series of affine transformations to simulate camera or object movement. This effect can enhance the robustness of models to variations in input data or be used for data augmentation.",Apply jitter effect to images for augmentation.,"['Image', 'Image Transformation and Manipulation', 'ImageTransformation']",expand
AdainFilterLatent,ComfyUI-Image-Filters,AdaIN Filter (Latent),Latent Style Mixer,"The AdainFilterLatent node applies an adaptive instance normalization (AdaIN) technique to latent representations, using a reference latent to adjust the style of the input latent. It supports adjusting the intensity of the effect through a factor and allows for varying the filter size to control the granularity of the style transfer.",Apply adaptive instance normalization to latent representations.,"['Diffusion', 'Style']",spinner
Tonemap,ComfyUI-Image-Filters,Tonemap,Tone Adjuster,The Tonemap node is designed to adjust the tonal range of images to make them suitable for display on different devices or for achieving specific visual effects. It supports conversion between linear and sRGB color spaces and allows for scaling of the tonemap effect.,Adjust image tonal range for various displays.,"['Image', 'Image Transformation and Manipulation']",display
AlphaMatte,ComfyUI-Image-Filters,Alpha Matte,Foreground Separator (Adv.),"The AlphaMatte node is designed for advanced image processing, specifically focusing on extracting and refining the alpha matte of images. It utilizes deep learning techniques to accurately separate foreground from background, even in complex scenes, by analyzing images alongside their alpha trimaps. This node is capable of handling pre-blurring, adjusting black and white points, and performing iterative refinements to achieve high-quality matte extraction.",Extract and refine alpha mattes with deep learning.,"['Segmentation', 'Masks']",clipboard-user
BatchAlign,ComfyUI-Image-Filters,Batch Align (RAFT),Batch Aligner,"The `BatchAlign` node is designed to align multiple batches of data, ensuring consistency and uniformity across different sets of inputs. It focuses on adjusting the alignment of data batches to facilitate more coherent processing or analysis downstream.",Align multiple data batches for consistency.,"['Data', 'Batch and Pipeline Processing']",arrow-down-up-across-line
DifferenceChecker,ComfyUI-Image-Filters,Difference Checker,Image Difference Highlighter,"The DifferenceChecker node is designed to compute the absolute difference between two images, scaled by a specified multiplier. This functionality is useful for highlighting differences or changes between two images, which can be applied in various image processing and analysis tasks.",Compute absolute difference between two images.,"['Image', 'Image Transformation and Manipulation']",minus
NormalMapSimple,ComfyUI-Image-Filters,Normal Map (Simple),Generate Normal Map,"The NormalMapSimple node is designed to generate normal maps from images, applying a transformation that simulates the appearance of surface variations and depth based on lighting. It utilizes image gradients to create a texture that represents the orientation of the surface in three-dimensional space, enhancing the visual perception of depth in 2D images.",Generate normal maps from images to simulate depth.,"['Detectors', 'NormalMap', 'NormalMap']",cube
